id,text,binary_label
378394,Abtreibung ist nach der 13ten Wo. gleichbedeutend  mit einem Mord! Wer danach abtreibt ist ein Mörder und sollte auch wie einer verurteilt werden.,1.0
378395,"In #England, #Wales, #Schottland, #Frankreich, #Norwegen, #Spanien &amp; #Schweden dürfen Entbindungspfleger*innen eine medikamentöse #Abtreibung anbieten, in #Deutschland ist das nicht erlaubt. #Slowenien hat überhaupt keine offizielle Regelung dazu, wer Abbrüche durchführen darf. https://t.co/ZPr5VYaDwY",0.0
378396,"Wie wahr; Die EU fördert statt Kinder und Familie Abtreibung und LBGTQ.  Linksradikale 
Klima Hysterie 
Immigration. Vor allem werden verfolgte Christen sehr benachteiligt.",1.0
378397,"Gegen Abtreibung, Ehe nur zwischen Mann und Frau... - immer wieder wirbt die #AfD mit solchen Positionen um christliche Wähler. Trotzdem gibt es zum 10. Geburtstag der Partei heute keine Gratulationen der #Kirchen, sondern im Gegenteil Ablehnung,  Abgrenzung und Kritik.",0.0
378398,"News: Spionage-Ballons, China, Robert Habeck, Olaf Scholz, AfD-Jubiläum, »Letzte Generation«, Abtreibung, Hans-Georg Maaßen https://t.co/0j1Rhhs7s1",0.0
378399,"Ich bete wo und wie ich will; ob ich dabei einen Rosenkranz in der Hand halte oder nur in Gedanken bete, ist allein meinem Gewissen und keinem einzigen Gesetz unterworfen. 
#dieGedankenSindFrei #abtreibung",0.0
378400,"Die erfolglose ex Berliner Grüne @schwarzblond und nun im Münchner Rathaus tätige Managerin schreibt ein Buch, um die Tötung ihres ungeborenen Kindes - eine verabscheuungswürdige Tat - zu verarbeiten. #Abtreibung ist und bleibt Mord! https://t.co/HyPFTo2B3m",1.0
378401,"Gott hat seinen eigenen Sohn getötet. Als der schon 30 Jahre alt war.
Aber er ist gegen Abtreibung?

Aha, aha, aha.",0.0
378402,"https://t.co/BSIRLZEUx7
spiegelonline hat eine Headline geändert. 

News: Spionage-Ballons, China, Robert Habeck, Olaf Scholz, AfD-Jubiläum, »Letzte Generation«, Abtreibung, Hans-Georg Maaßen

 Alle Änderungen auf https://t.co/MPNnN5WE3g https://t.co/AOjLrInXUI",0.0
378403,"Mit ein paar Einschätzungen von mir 👇
Empört, bewegt, polarisiert: Wie die Politik in Europa und den USA das Thema Abtreibung für sich nutzt https://t.co/UugUXuVRVO via @Tagesspiegel",0.0
378404,"Frankreich: Senat will ""Recht"" auf Abtreibung in Verfassung verankern

https://t.co/CFQecIqBLX",0.0
378405,"News: Spionage-Ballons, China, Robert Habeck, Olaf Scholz, AfD-Jubiläum, »Letzte Generation«, Abtreibung, Hans-Georg Maaßen https://t.co/Z8tcaJvvdU Die Regierung forscht nach Spionageballons. Die Klimakleber bringen die Pendler wieder auf Betriebstemperatur. Und die AfD-Geburts…",0.0
378406,"Immer Details, die Abtreibungsfans verschweigen/verstecken:
https://t.co/dReWGk2aNO
""Mädchen war sich der Schwangerschaft nicht bewusst""

Oben schreibt man:
""Doch nun wurde einem Teenager der Schwangerschaftsabbruch trotzdem verwehrt""

Nein, ihr wurde Abtreibung nicht verwert,",0.0
378407,"Der Begriff Schwangerschaftsabbruch ist irreführend.
Es ist ein Lebensabbruch.
So wie jede Tötung.
#prochoice #Abtreibung #wegmit218 #wegmit219a",1.0
378408,"News: Spionage-Ballons, China, Robert Habeck, Olaf Scholz, AfD-Jubiläum, »Letzte Generation«, Abtreibung, Hans-Georg Maaßen https://t.co/Z8tcaJvvdU Die Regierung forscht nach Spionageballons. Die Klima-Kleber bringen die Pendler wieder auf Betriebstemperatur. Und die AfD-Geburt…",0.0
378409,"News: Spionage-Ballons, China, Robert Habeck, Olaf Scholz, AfD-Jubiläum, »Letzte Generation«, Abtreibung, Hans-Georg Maaßen https://t.co/igeRwACu05 https://t.co/6kRJoNaTAc",0.0
378410,"Die Abtreibung wird zum Kult. Da dabei ein Mensch-ein Baby stirbt-,die betroffene Frau seelische Narben bekommt, ist es weder eine soziale noch überhaupt eine Gerechtigkeit. 
Um diesen Kult zu schützen, müssen Gesetze wie auf dem Jahrmarkt beschlossen werden.",1.0
378411,"News: Spionage-Ballons, China, Robert Habeck, Olaf Scholz, AfD-Jubiläum, »Letzte Generation«, Abtreibung, Hans-Georg Maaßen https://t.co/0LiHOLEvYV",0.0
378412,Tagsüber demonstriere ich übrigens auch vor Kliniken gegen Abtreibung. Abends habe ich allerdings abgetrieben. Aber das ist privat und darf man nicht miteinander vergleichen! 💁🏼‍♀️#sterntv,0.0
